"","Days_Between_Record"
"1",161
"2",42
"3",85
"4",2
"5",113
"6",1350
"7",19
"8",547
"9",2093
"10",1877
"11",1362
"12",2085
"13",10
"14",3
"15",214
"16",4185
"17",1883
"18",364
"19",113
"20",265
"21",778
"22",742
"23",748
"24",890
"25",118
"26",21
"27",343
"28",130
"29",234
"30",904
"31",544
"32",419
"33",1288
"34",1466
"35",811
"36",589
"37",1050
"38",181
"39",1093
"40",3808
"41",399
"42",903
"43",532
"44",1463
"45",364
"46",1092
"47",735
"48",364
"49",1449
