"","state","vaccinated_or_accept","more_accept_vaccination","uninsured","total_private_health_insurance_spending","number_of_births","infant_mortality_rate","firearms_death_rate","median_annual_household_income","governor_political_affiliation","state_senate_majority_political_affiliation","state_house_majority_political_affiliation","total_gross_state_product","unemployment_claims","average_monthly_snap_participants","smoking","drug_overdoses","hospital_inpatient_day_expenses","population"
"1","Alabama",81.247139,FALSE,9.7,11078,"58615","6.9","22.2",51734,"Republican","Republican","Republican",228142.6,"5431","667043",20.9,"16.3",1657.36,"4767100"
"2","Alaska",85.6164384,FALSE,11.5,2492,"9822","6.3","24.4",75463,"Republican","Republican","Republican",54385.6,"1117","78932",21,"17.8",2397.02,"701700"
"3","Arizona",86.0494327,FALSE,11.1,15073,"79375","5.7","15.1",62055,"Republican","Republican","Republican",370119.1,"2957","736883",15.6,"26.8",2751.38,"7098000"
"4","Arkansas",85.1478536,FALSE,9.1,6209,"36564","7.5","19.3",48952,"Republican","Republican","Republican",130954.1,"1481","354917",22.3,"13.5",1882.51,"2922500"
"5","California",91.6385772,TRUE,7.8,104018,"446479","4.2","7.2",80440,"Democrat","Democrat","Democrat",3132801,"56337","3529470",11.3,"15",3726.43,"38642700"
"6","Colorado",89.3445215,TRUE,7.8,15662,"62869","4.8","14.2",77127,"Democrat","Democrat","Democrat",392986,"3233","415289",14.6,"18",3047.13,"5611800"
"7","Connecticut",93.5942029,TRUE,5.9,11920,"34258","4.2","5.3",78833,"Democrat","Democrat","Democrat",287822.2,"3069","340447",12.7,"34.7",2884.25,"3453300"
"8","Delaware",88.8994049,TRUE,6.6,2933,"10562","5.9","9.9",70176,"Democrat","Democrat","Democrat",77082.4,"527","119787",17,"48",3140.83,"940300"
"9","Florida",86.0284552,FALSE,13.1,48566,"220002","6","12.7",59227,"Republican","Republican","Republican",1106500,"9700","2649741",16.1,"25.5",2365.99,"20992000"
"10","Georgia",82.4316635,FALSE,13.4,26029,"126371","7.1","15.8",61980,"Republican","Republican","Republican",625713.6,"9849","1332536",17.5,"13.1",1939.36,"10294000"
"11","Hawaii",93.1683168,TRUE,4.1,3614,"16797","6.8","4.4",83102,"Democrat","Democrat","Democrat",95744.3,"2206","144922",12.8,"15.9",2679.6,"1343000"
"12","Idaho",80.9210433,FALSE,10.5,3827,"22063","5.1","14.2",60999,"Republican","Republican","Republican",83665.5,"866","135922",14.3,"15.1",2511.01,"1750900"
"13","Illinois",88.6153338,TRUE,7.3,40358,"140128","6.6","10.8",69187,"Democrat","Democrat","Democrat",885583,"15546","1639396",15.5,"21.9",2753.78,"12362300"
"14","Indiana",83.530433,FALSE,8.8,16948,"80859","6.7","14.1",57603,"Republican","Republican","Republican",379684.1,"5574","530384",21.8,"26.6",2727.83,"6511800"
"15","Iowa",84.0932261,FALSE,4.7,9004,"37649","5","9.1",61691,"Republican","Republican","Republican",194658.1,"1678","295682",17.1,"11.5",1606.19,"3060200"
"16","Kansas",86.7750072,TRUE,9.2,8951,"35395","6.4","13.7",62087,"Democrat","Republican","Republican",176493.1,"1268","185329",17.4,"14.3",1874.19,"2811200"
"17","Kentucky",83.5122985,FALSE,6.4,11830,"53069","6.1","14.9",52295,"Democrat","Republican","Republican",215398.9,"1715","502241",24.6,"32.5",2099.48,"4319300"
"18","Louisiana",82.9572054,FALSE,8.9,11034,"58941","7.7","22.1",51073,"Democrat","Republican","Republican",256918.5,"2060","749560",23.1,"28.3",2083.93,"4498600"
"19","Maine",89.6153846,TRUE,8.1,4147,"11779","5.5","11.5",58924,"Democrat","Democrat","Democrat",67717.1,"719","144433",17.3,"29.9",2581.49,"1302300"
"20","Maryland",93.6217888,TRUE,5.9,17297,"70178","6","12.6",86738,"Republican","Democrat","Democrat",426747.4,"6377","570444",13.8,"38.2",2997.81,"5875500"
"21","Massachusetts",92.9156053,TRUE,3,23606,"69117","4.2","3.4",85843,"Republican","Democrat","Democrat",596593.1,"5747","703516",13.7,"32.1",3196.4,"6650800"
"22","Michigan",87.4242078,TRUE,5.8,25935,"107886","6.2","12.1",59584,"Democrat","Republican","Republican",536888.3,"6306","1181972",19.3,"24.4",2458.35,"9765600"
"23","Minnesota",88.5791717,TRUE,4.8,17433,"66027","5.1","8.1",74593,"Democrat","Republican","Democrat",383777,"3663","381779",14.5,"14.2",2409.86,"5514800"
"24","Mississippi",80.7934359,FALSE,12.9,6148,"36636","8.4","24.2",45792,"Republican","Republican","Republican",115971.3,"2048","420873",22.2,"13.6",1278.85,"2867100"
"25","Missouri",84.9625009,FALSE,10.1,16521,"72127","6.4","20.6",57409,"Republican","Republican","Republican",328400.6,"10976","639338",20.8,"26.9",2412.03,"5939900"
"26","Montana",79.5309684,FALSE,8.3,2500,"11079","4.8","19",57153,"Republican","Republican","Republican",52934.6,"743","99368",17.2,"14.1",1867.48,"1039400"
"27","Nebraska",85.696433,FALSE,7.9,5833,"24755","5.8","10.4",63229,"Republican","N/A","N/A",130011.8,"978","148768",15.4,"8.7",2198.09,"1873600"
"28","Nevada",86.306195,FALSE,11.5,5789,"35072","6.1","15.3",63276,"Democrat","Democrat","Democrat",178199.4,"2393","391569",17.6,"20.1",2216.16,"3029700"
"29","New Hampshire",92.5444596,TRUE,6.4,4661,"11839","3.5","10.7",77933,"Republican","Republican","Republican",87634.1,"566","70412",15.7,"32",2810.36,"1314000"
"30","New Jersey",92.4706305,TRUE,7.9,29959,"99585","3.8","4.1",85751,"Democrat","Democrat","Democrat",634783.6,"8279","649128",13.7,"31.7",2894.38,"8699400"
"31","New Mexico",89.1695443,TRUE,9.8,4139,"22960","5.7","22.3",51945,"Democrat","Democrat","Democrat",105143.4,"4889","415161",17.5,"30.2",2806.47,"2041400"
"32","New York",90.9791641,TRUE,5.3,61730,"221539","4.3","3.9",72108,"Democrat","Democrat","Democrat",1772261,"18708","2661700",14.1,"18.2",3070.03,"18908300"
"33","North Carolina",85.3978052,FALSE,11.4,22646,"118725","6.8","13.1",57341,"Democrat","Republican","Republican",591600.9,"4950","1228424",17.2,"22.3",2236.43,"10139700"
"34","North Dakota",81.81566,FALSE,7.4,2414,"10454","5.6","12.4",64577,"Republican","Republican","Republican",57180.9,"276","45312",18.3,"11.4",1869.8,"731000"
"35","Ohio",83.8772663,FALSE,6.7,31892,"134461","6.9","13.3",58642,"Republican","Republican","Republican",695361.6,"13749","1273257",21.1,"38.3",2941.83,"11351500"
"36","Oklahoma",81.5928515,FALSE,14.9,9287,"49143","7.1","18.6",54449,"Republican","Republican","Republican",202036.1,"2676","531728",20.1,"16.7",2088.36,"3826900"
"37","Oregon",87.8044751,TRUE,7.1,10272,"41858","4.2","12.6",67058,"Democrat","Democrat","Democrat",253623.2,"5307","554927",16.1,"14",3724.21,"4128900"
"38","Pennsylvania",86.2507089,FALSE,5.7,39542,"134230","5.9","11.7",63463,"Democrat","Republican","Republican",808737.5,"10727","1627640",18.7,"35.6",2580.65,"12377600"
"39","Rhode Island",90.8184825,TRUE,4.3,3021,"10175","5","4.6",71169,"Democrat","Democrat","Democrat",61883.8,"1891","141232",14.9,"29.5",2833.48,"1017100"
"40","South Carolina",83.9073427,FALSE,10.8,11980,"57038","7.1","19.9",56227,"Republican","Republican","Republican",247543.8,"1321","558722",18.8,"22.7",2110.76,"4984200"
"41","South Dakota",80.669541,FALSE,9.6,2467,"11449","5.9","13.1",59533,"Republican","Republican","Republican",54940.9,"140","75020",19.3,"10.5",1588.99,"851300"
